Symbol,Date,Open,High,Low,Close,Volume
ABEV3,2015-01-02,16.14,16.56,15.77,16.01,307341972
BBAS3,2015-01-02,23.43,23.67,22.22,22.65,104254177
BBDC4,2015-01-02,34.75,35.49,34.13,34.30,270353296
BRFS3,2015-01-02,62.00,64.34,60.97,62.18,236639257
B3SA3,2015-01-02,9.81,9.81,9.45,9.50,66831195
ITSA4,2015-01-02,9.36,9.45,9.12,9.17,98867962
ITUB4,2015-01-02,34.25,34.81,33.52,33.83,384799528
PETR4,2015-01-02,9.99,9.99,9.36,9.36,467547925
UGPA3,2015-01-02,51.10,51.38,50.16,50.66,66570462
VALE3,2015-01-02,21.70,21.95,21.06,21.28,120672152
ABEV3,2015-01-05,15.91,15.97,15.54,15.66,213373001
BBAS3,2015-01-05,22.58,22.70,21.90,22.18,121251989
BBDC4,2015-01-05,33.71,34.77,33.31,34.35,263966690
BRFS3,2015-01-05,61.60,62.49,60.53,61.00,135018661
B3SA3,2015-01-05,9.43,9.46,9.17,9.22,100495192
ITSA4,2015-01-05,9.03,9.34,8.98,9.20,185490868
ITUB4,2015-01-05,33.30,34.35,33.04,34.00,427787642
PETR4,2015-01-05,9.14,9.19,8.58,8.61,674783884
UGPA3,2015-01-05,49.65,50.25,49.30,49.41,72530427
VALE3,2015-01-05,20.76,21.13,20.51,20.96,173776434
ABEV3,2015-01-06,15.73,16.22,15.56,16.11,296389588
BBAS3,2015-01-06,22.23,22.77,21.98,22.49,162826253
BBDC4,2015-01-06,34.37,35.48,34.14,35.48,347310846
BRFS3,2015-01-06,61.33,62.22,60.71,61.55,200404331
B3SA3,2015-01-06,9.20,9.34,9.10,9.31,124327839
ITSA4,2015-01-06,9.22,9.30,9.09,9.27,298050976
ITUB4,2015-01-06,34.00,34.55,33.63,34.55,513152541
PETR4,2015-01-06,8.71,8.83,8.04,8.33,706839884
UGPA3,2015-01-06,49.33,49.84,48.88,49.10,98794398
VALE3,2015-01-06,21.27,22.13,21.07,21.80,212788714
ABEV3,2015-01-07,16.34,16.72,16.14,16.51,326736434
BBAS3,2015-01-07,22.94,24.08,22.74,23.48,95374819
BBDC4,2015-01-07,35.94,37.30,35.62,36.89,390734722
BRFS3,2015-01-07,61.80,64.65,61.80,64.30,175739553
B3SA3,2015-01-07,9.40,9.85,9.38,9.71,77701948
ITSA4,2015-01-07,9.45,9.76,9.43,9.62,184367959
ITUB4,2015-01-07,35.00,36.34,35.00,35.80,457070610
PETR4,2015-01-07,8.56,8.73,8.36,8.67,733268924
UGPA3,2015-01-07,49.75,51.50,49.55,50.40,106728203
VALE3,2015-01-07,22.32,22.81,21.97,22.60,135618045
ABEV3,2015-01-08,16.43,16.68,16.26,16.48,147646194
BBAS3,2015-01-08,23.77,23.98,23.22,23.56,70836037
BBDC4,2015-01-08,37.00,37.41,36.30,37.08,215516023
BRFS3,2015-01-08,64.60,64.80,62.85,63.15,116638476
B3SA3,2015-01-08,9.89,9.90,9.57,9.61,72405625
ITSA4,2015-01-08,9.70,9.78,9.47,9.72,147895048
ITUB4,2015-01-08,36.00,36.50,35.22,36.36,414831118
PETR4,2015-01-08,8.79,9.39,8.74,9.18,754338635
UGPA3,2015-01-08,50.78,51.16,49.78,50.24,42650680
VALE3,2015-01-08,22.77,22.88,22.11,22.84,104941063
ABEV3,2015-01-09,16.47,16.65,16.30,16.47,179971729
BBAS3,2015-01-09,23.50,23.55,22.51,22.54,83784592
BBDC4,2015-01-09,36.72,36.93,35.28,35.47,227840498
BRFS3,2015-01-09,63.00,63.04,61.01,61.78,136298277
B3SA3,2015-01-09,9.59,9.65,9.31,9.40,51779959
ITSA4,2015-01-09,9.65,9.68,9.32,9.38,90841302
ITUB4,2015-01-09,36.05,36.15,34.67,34.77,323571311
PETR4,2015-01-09,9.20,9.40,8.93,9.40,460371734
UGPA3,2015-01-09,49.80,50.09,48.91,49.50,65532726
